test_id,probability
0,0.225477155798
1,0.519387993313
2,0.656972921033
3,0.336096927276
4,0.709297266606
5,0.220288150562
6,0.450175502327
7,0.224374658408
8,0.411207055068
9,0.476006017833
10,0.776514530475
11,0.252138706945
12,0.0
13,0.201993092498
14,0.502929265114
15,0.411207055068
16,0.125366937987
17,0.615218690896
18,0.300697514926
19,0.579738671538
20,0.15611161433
21,0.387557255367
22,0.503102612415
23,0.17077611319
24,0.159764209241
25,0.403470577019
26,0.145836591897
27,0.17077611319
28,0.206136966068
29,0.184410638907
30,0.656972921033
31,0.291219418564
32,0.0
33,0.295267555382
34,0.105992131351
35,0.51014901931
36,0.122895245593
37,0.127359529795
38,0.431613418971
39,0.356300429333
40,0.836315024055
41,0.635001221407
42,0.260555671056
43,0.225764846003
44,0.216933817011
45,0.431613418971
46,0.776514530475
47,0.709297266606
48,0.450175502327
49,0.0
50,0.150556969602
51,0.252334201434
52,0.336096927276
53,0.579738671538
54,0.0
55,0.336096927276
56,0.356300429333
57,0.503102612415
58,0.260555671056
59,0.776514530475
60,0.269517613246
61,0.336096927276
62,0.524570891515
63,0.344642141038
64,0.285306190981
65,0.291219418564
66,0.709297266606
67,0.647328633751
68,0.291219418564
69,0.23577033983
70,0.431613418971
71,0.101630669791
72,0.716811741443
73,0.344642141038
74,0.0
75,0.17077611319
76,0.112342778915
77,0.112342778915
78,0.411207055068
79,0.252334201434
80,0.277396228976
81,0.279828065243
82,0.0
83,0.25969799324
84,0.336096927276
85,0.776514530475
86,0.580332984677
87,0.220288150562
88,0.200622558822
89,0.0
90,0.0
91,0.23577033983
92,0.0
93,0.503102612415
94,0.0
95,0.450175502327
96,0.0
97,0.220288150562
98,0.318784021754
99,0.194314340169
100,0.0
101,0.490834212066
102,0.247183357266
103,0.411207055068
104,0.0
105,0.220288150562
106,0.0
107,0.0
108,0.356300429333
109,0.225694692433
110,0.0
111,0.17077611319
112,0.639230624054
113,0.225764846003
114,0.115215543378
115,0.220288150562
116,0.201993092498
117,0.0
118,0.0
119,0.418906716157
120,0.137543604556
121,0.820020739282
122,0.449436416524
